Date,City,Country,co,no2,o3,pm10,pm25,so2
1/10/2020,Cardiff,GB,2.3,13.4,17.1,14,21,5.6
1/10/2020,Castelló de la Plana,ES,0.1,6.4,24,9,21,2.1
1/10/2020,Chandigarh,IN,4,9.3,9.3,66,115,3.8
1/10/2020,Changchun,CN,10.1,24.3,24.8,65,164,11.2
1/10/2020,Changsha,CN,7.3,11,9,14,55,1.6
1/10/2020,Changwon,KR,6.7,21.3,16,31,78,5.8
1/10/2020,Chengdu,CN,10,16,8.2,48,99,3.6
1/10/2020,Chennai,IN,6.4,4.6,15.4,57,89,2.8
1/10/2020,Cheongju-si,KR,8.9,31.5,5.6,55,139,4.3
1/10/2020,Chiang Mai,TH,0.1,14.4,6,52,129,1.1
1/10/2020,Chiba,JP,3.4,11.2,19.2,8,25,1.5
1/10/2020,Chon Buri,TH,0.1,12.7,10.3,76,154,1.1
1/10/2020,Chongqing,CN,10.9,16.5,4.1,38,82,3.1
1/10/2020,Chuncheon,KR,6.7,15.8,7.3,50,114,4.3
1/10/2020,Concepción,CL,11,2.8,10.9,20,21,1.7
1/10/2020,Copenhagen,DK,2.9,11.4,8.2,12,35,0.8
1/10/2020,Cuernavaca,MX,0.6,18.9,27.2,29,34,3.9
1/10/2020,Daegu,KR,7.8,31.5,8,41,99,5.8
1/10/2020,Daejeon,KR,7.8,27.8,5.6,48,102,4.3
1/10/2020,Darwin,AU,3.6,0.3,8.1,10,9,0.1
1/10/2020,Delhi,IN,11.1,17.9,4.5,120,188,4.9
1/10/2020,Denver,US,1.9,6.4,7.8,16,25,0.6
1/10/2020,Dongguan,CN,8.2,21.1,26.9,57,112,3.6
1/10/2020,Donostia / San Sebastián,ES,0.1,9.2,27.7,18,30,1.1
1/10/2020,Douliu,TW,5.6,13.9,17.6,54,87,4.3
1/10/2020,East London,ZA,8.8,2.3,5.3,14,25,9.7
1/10/2020,Edinburgh,GB,5.8,12.8,24,9,21,1.4
1/10/2020,Erzurum,TR,4.6,9.7,22.7,35,103,8.9
1/10/2020,Eskişehir,TR,9.9,36.8,7.1,59,153,9.7
1/10/2020,Foshan,CN,7.4,18.3,23.6,51,91,4.1
1/10/2020,Fukuoka,JP,5.6,12.1,20,17,57,1.5
1/10/2020,Fushun,CN,12.7,21.1,8.6,82,167,11.7
1/10/2020,Fuzhou,CN,7.5,14.7,32.5,54,104,2.6
1/10/2020,Gandhinagar,IN,6.3,3.8,9.6,71,120,5.3
1/10/2020,Gdańsk,PL,3.9,7.4,6.2,10,48,1.3
1/10/2020,Gent,BE,0.1,7.8,23.6,10,21,9.7
1/10/2020,Ghāziābād,IN,13.2,25.9,3.3,114,192,4.4
1/10/2020,Gifu-shi,JP,3.4,4.7,24.1,4,21,2.9
1/10/2020,Guadalajara,MX,6.7,16.7,6.8,35,64,2.2
1/10/2020,Guangzhou,CN,8.3,27.5,16.7,56,93,3.6
1/10/2020,Guiyang,CN,10.9,7.4,8.2,21,53,3.1
1/10/2020,Gwangju,KR,5.6,19.5,16,29,70,4.3
1/10/2020,Győr,HU,10.1,14.1,6.6,47,133,1.3
1/10/2020,Haarlem,NL,1.6,5.7,26.4,16,23,0.1
1/10/2020,Haifa,IL,17.8,8.6,19,14,49,1
1/10/2020,Haikou,CN,5.9,4.6,30.1,31,53,2.1
1/10/2020,Hamburg,DE,0.1,9.6,21.6,10,34,1.6
1/10/2020,Hangzhou,CN,7.3,23.8,2.1,22,59,2.6
1/10/2020,Hanoi,VN,0.3,9.2,3.3,41,74,3
1/10/2020,Harbin,CN,10.9,29.3,19.9,87,190,20.3
1/10/2020,Hefei,CN,4.6,20.2,5.3,30,97,2.6
1/10/2020,Hegang,CN,7.6,13.3,25.2,68,144,9.2
1/10/2020,Hiroshima,JP,4.5,6.5,24.1,8,25,1.5
1/10/2020,Hong Kong,HK,8,21.3,31,40,82,2.3
1/10/2020,Hsinchu,TW,4.5,13.9,19.2,31,61,2.9
1/10/2020,Huế,VN,8,4,8,26,39,5
1/10/2020,Hyderabad,IN,5.3,12.5,11.8,86,161,2.5
1/10/2020,Hāpur,IN,6.6,19.1,5.2,94,171,3.8
1/10/2020,Incheon,KR,8.9,32.5,10.4,56,137,7.2
1/10/2020,Istanbul,TR,19.4,31.9,3.9,30,68,4.3
1/10/2020,Jacksonville,US,9.1,3.2,15.5,26,37,0.6
1/10/2020,Jaipur,IN,6.1,17.8,18.4,63,103,6
1/10/2020,Jeju City,KR,4.5,13,27.2,25,59,2.9
1/10/2020,Jeonju,KR,6.7,19.5,10.4,40,95,5.8
1/10/2020,Jerusalem,IL,2.8,8.5,20.8,10,34,11.2
1/10/2020,Jieyang,CN,8.2,9.6,34.6,56,144,6.1
1/10/2020,Jinan,CN,0.1,33.4,2.9,82,165,10.2
1/10/2020,Johannesburg,ZA,5.5,6.9,8.2,22,53,2.1
1/10/2020,Kagoshima,JP,3.4,7.5,24.8,20,68,4.3
1/10/2020,Kanazawa,JP,3.4,4.7,27.2,4,17,1.5
1/10/2020,Kaohsiung,TW,7.8,23.2,17.6,64,112,4.3
1/10/2020,Katowice,PL,4.3,12.9,11.5,38,110,6.8
1/10/2020,Kayseri,TR,5.3,0.1,9,10,29,1.6
1/10/2020,Kecskemét,HU,6.5,9.2,9.9,50,105,3.5
1/10/2020,Keelung,TW,4.3,8.4,15.2,18,38,2.9
1/10/2020,Kobe,JP,3.4,7.5,26.4,10,30,1.5
1/10/2020,Kochi,JP,5.6,3.8,27.2,7,30,1.5
1/10/2020,Kolkata,IN,6.4,22.1,5.6,102,169,7.5
1/10/2020,Konya,TR,3.4,10.2,15.7,10,43,2
1/10/2020,Kraków,PL,9.8,20.8,4,50,134,7.9
1/10/2020,Kumamoto,JP,3.4,9.3,20.8,18,61,1.5
1/10/2020,Kunming,CN,6.4,9.2,21.6,29,65,4.6
1/10/2020,Kyoto,JP,3.4,8.4,25.6,7,21,1.5
1/10/2020,Lampang,TH,0.1,5.8,10.7,64,157,1.6
1/10/2020,Lanzhou,CN,8.2,14.7,27.7,52,137,8.7
1/10/2020,Las Palmas de Gran Canaria,ES,0.1,4.6,25.6,19,25,2.1
1/10/2020,Las Vegas,US,0.1,3.4,14.3,13,13,0.4
1/10/2020,Leeds,GB,2.2,22,11.6,11,36,2.6
1/10/2020,Lhasa,CN,5.5,4.6,32.9,23,34,2.6
1/10/2020,Lima,PE,5.1,5.4,5,25,64,4.7
1/10/2020,Liège,BE,0.1,5.5,19.5,3,17,1.6
1/10/2020,London,GB,4.8,17.6,12.6,11,33,2.2
1/10/2020,Los Angeles,US,7.4,26,9.6,26,53,1.5
1/10/2020,Macau,MO,4.6,16.5,25.4,46,73,1
1/10/2020,Madrid,ES,0.1,20.6,20.4,11,30,3.1
1/10/2020,Marseille,FR,0.1,16.9,15.8,16,46,0.9
1/10/2020,Matsuyama,JP,4.5,8.4,22.4,8,34,2.9
1/10/2020,Mexico City,MX,8.9,26.5,16,45,61,4.3
1/10/2020,Middelburg,ZA,2.4,5.1,9,12,21,1.1
1/10/2020,Milan,IT,0.1,47.1,2.1,65,155,4.6
1/10/2020,Milwaukee,US,3.3,7.8,15.1,15,55,0.2
1/10/2020,Miskolc,HU,8,9.6,2.3,58,152,4.4
1/10/2020,Mokpo,KR,5.6,8.4,24.8,33,74,4.3
