,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/10/2019,Cheongju-si,KR,7.8,34.3,4.0,57.0,114.0,7.2
1/10/2019,Chiang Mai,TH,0.1,6.4,4.4,26.0,73.0,1.1
1/10/2019,Chiba,JP,5.6,26.9,9.6,17.0,61.0,2.9
1/10/2019,Chon Buri,TH,0.1,10.4,8.7,52.0,93.0,0.6
1/10/2019,Chongqing,CN,11.8,18.3,3.7,36.0,85.0,3.1
1/10/2019,Chuncheon,KR,10.0,30.6,4.8,53.0,85.0,7.2
1/10/2019,Concepción,CL,6.6,2.7,8.0,20.0,24.0,2.5
1/10/2019,Copenhagen,DK,1.9,14.6,13.8,13.0,24.0,1.3
1/10/2019,Cuernavaca,MX,9.3,14.8,15.1,32.0,72.0,5.8
1/10/2019,Daegu,KR,5.6,23.2,14.5,33.0,68.0,5.8
1/10/2019,Daejeon,KR,7.8,32.5,3.2,51.0,93.0,7.2
1/10/2019,Darwin,AU,4.7,0.5,5.7,13.0,16.0,0.1
1/10/2019,Delhi,IN,11.3,24.6,5.0,153.0,219.0,8.9
1/10/2019,Denver,US,5.5,17.9,3.3,50.0,53.0,1.1
1/10/2019,Dongguan,CN,12.1,23.4,7.8,62.0,147.0,6.6
1/10/2019,Donostia / San Sebastián,ES,0.1,12.4,22.4,12.0,34.0,1.1
1/10/2019,Douliu,TW,4.6,12.1,16.8,67.0,95.0,4.3
1/10/2019,Edinburgh,GB,3.4,15.1,17.9,8.0,24.0,5.1
1/10/2019,Erzurum,TR,18.9,44.4,5.7,66.0,178.0,9.2
1/10/2019,Foshan,CN,14.0,23.4,2.1,73.0,144.0,6.6
1/10/2019,Fukuoka,JP,3.4,17.6,10.4,10.0,34.0,2.9
1/10/2019,Fushun,CN,13.6,21.5,15.5,82.0,154.0,15.2
1/10/2019,Fuzhou,CN,8.4,21.5,22.0,51.0,85.0,2.6
1/10/2019,Gasteiz / Vitoria,ES,0.1,11.5,31.3,11.0,25.0,1.6
1/10/2019,Gdańsk,PL,3.7,6.9,10.0,21.0,53.0,1.9
1/10/2019,Gifu-shi,JP,4.5,13.9,12.1,10.0,34.0,2.9
1/10/2019,Guadalajara,MX,7.4,13.7,22.0,50.0,78.0,3.9
1/10/2019,Guangzhou,CN,13.6,23.8,2.1,65.0,149.0,4.6
1/10/2019,Guiyang,CN,9.1,8.3,4.9,25.0,61.0,5.1
1/10/2019,Gwangju,KR,5.6,20.4,12.1,32.0,70.0,4.3
1/10/2019,Győr,HU,8.7,16.0,8.8,36.0,62.0,1.5
1/10/2019,Haarlem,NL,2.2,9.2,16.8,14.0,20.0,0.3
1/10/2019,Haifa,IL,3.4,7.8,20.8,21.0,54.0,0.8
1/10/2019,Haikou,CN,6.4,5.1,20.4,45.0,61.0,2.6
1/10/2019,Hamburg,DE,0.1,19.2,13.5,9.0,17.0,1.6
1/10/2019,Hangzhou,CN,7.3,24.3,2.1,30.0,74.0,3.6
1/10/2019,Harbin,CN,9.0,20.2,15.5,70.0,124.0,15.2
1/10/2019,Hefei,CN,5.5,17.4,6.1,36.0,99.0,1.6
1/10/2019,Hegang,CN,4.6,4.6,29.3,52.0,78.0,5.1
1/10/2019,Hiroshima,JP,5.6,19.5,7.3,10.0,30.0,2.9
1/10/2019,Hong Kong,HK,7.8,21.9,20.7,33.0,72.0,2.1
