date, pm25
2017/4/21, 81
2017/4/22, 76
2017/4/23, 75
2017/4/24, 88
2017/4/25, 96
2017/4/26, 123
2017/4/27, 138
2017/4/28, 114
2017/4/29, 98
2017/4/30, 81
2017/5/2, 65
2017/5/3, 96
2017/5/4, 93
2017/5/5, 93
2017/5/6, 99
2017/5/7, 91
2017/5/8, 63
2017/5/9, 93
2017/5/27, 29
2017/5/28, 33
2017/5/29, 27
2017/5/30, 32
2017/5/31, 34
2017/6/1, 35
2017/6/2, 53
2017/6/3, 48
2017/6/4, 23
2017/6/5, 43
2017/6/6, 65
2017/6/7, 63
2017/6/8, 33
2017/6/9, 39
2017/6/10, 29
2017/6/11, 29
2017/6/12, 46
2017/6/13, 34
2017/6/14, 41
2017/6/15, 37
2017/6/16, 40
2017/6/17, 16
2017/6/18, 22
2017/6/19, 24
2017/6/20, 44
2017/6/21, 25
2017/6/22, 42
2017/6/23, 39
2017/6/24, 51
2017/6/25, 64
2017/6/26, 59
2017/6/27, 38
2017/6/28, 62
2017/6/29, 43
2017/6/30, 64
2017/7/1, 88
2017/1/3, 240
2017/1/4, 184
2017/1/5, 199
2017/1/6, 198
2017/1/7, 190
2017/1/8, 173
2017/1/9, 150
2017/1/10, 157
2017/1/11, 164
2017/1/12, 185
2017/1/13, 196
2017/1/19, 200
2017/1/20, 208
2017/1/21, 199
2017/1/22, 182
2017/1/23, 169
2017/1/24, 183
2017/1/25, 180
2017/1/26, 186
2017/1/27, 200
2017/1/28, 140
2017/1/29, 156
2017/1/30, 163
2017/1/31, 173
2017/2/1, 194
2017/2/2, 190
2017/2/3, 208
2017/2/4, 213
2017/2/5, 144
2017/2/6, 123
2017/2/7, 141
2017/2/8, 169
2017/2/9, 168
2017/2/10, 170
2017/2/11, 172
2017/2/12, 146
2017/2/13, 171
2017/2/14, 203
2017/2/15, 190
2017/2/16, 166
2017/2/17, 180
2017/2/18, 172
2017/2/19, 162
2017/2/20, 178
2017/2/21, 184
2017/2/22, 130
2017/2/23, 128
2017/2/24, 154
2017/2/25, 177
