date, pm25, pm10, o3, no2, so2, co
2019/8/25, 23, 11, 13, 2, , 
2019/8/26, 24, 15, 12, 5, , 
2019/8/27, 27, 15, 7, 6, , 
2019/8/28, 31, 14, 6, 5, , 
2019/8/29, 21, 15, 16, 4, , 
2019/8/30, 28, 13, 9, 5, , 
2019/8/31, 35, 13, 13, 6, , 
2019/9/1, 21, 9, 11, 4, , 
2019/9/2, 12, 9, 9, 4, , 
2019/9/3, 21, 12, 10, 4, , 
2019/9/4, 17, 16, 9, 5, , 
2019/9/5, 42, 13, 8, 5, , 
2019/9/6, 19, 14, 16, 4, , 
2019/9/7, 18, 8, 9, 3, , 
2019/9/8, 15, 5, 9, 2, , 
2019/9/9, 10, 7, 9, 3, , 
2019/9/10, 16, 8, 9, 5, , 
2019/9/11, 17, 9, 9, 4, , 
2019/9/12, 16, 10, 6, 6, , 
2019/9/13, 23, 7, 9, 3, , 
2019/9/14, 11, 5, 10, 2, , 
2019/9/15, 12, 6, 12, 2, , 
2019/9/16, 9, 8, 7, 4, , 
2019/9/17, 14, 5, 6, 4, , 
2019/9/18, 12, 6, 9, 4, , 
2019/9/19, 13, 11, 3, 5, , 
2019/9/20, 22, 10, 5, 5, , 
2019/9/21, 24, 10, 9, 4, , 
2019/9/22, 20, 6, 7, 2, , 
2019/9/23, 19, 7, 11, 4, , 
2019/9/24, 8, 9, 9, 4, , 
2019/9/25, 24, 13, 8, 5, , 
2019/9/26, 27, 8, 11, 3, , 
2019/9/27, 10, 6, 13, 2, , 
2019/9/28, 4, 5, 11, 3, , 
2019/9/29, 5, 6, 12, 3, , 
2019/9/30, 8, 10, 10, 5, , 
2019/10/1, 22, 13, 9, 6, , 
2019/4/2, 21, 16, 13, 10, , 
2019/4/3, 18, 8, 15, 3, , 
2019/4/4, 24, 13, 14, 6, , 
2019/4/5, 27, 7, 16, 4, , 
2019/4/6, 19, 7, 18, 2, , 
2019/4/7, 14, 6, 18, 2, , 
2019/4/8, 15, 7, 12, 6, , 
2019/4/9, 19, 9, 14, 2, , 
2019/4/10, 23, 7, 15, 5, , 
2019/4/11, 12, 7, 15, 6, , 
2019/4/12, 21, 6, 14, 4, , 
2019/4/13, 16, 5, 17, 2, , 
2019/4/14, 12, 5, 17, 3, , 
