date, pm25, pm10, o3, no2, so2, co
2019/6/28, 16, 9, , , , 
2019/6/29, 16, 12, , , , 
2019/6/30, 23, 16, , , , 
2019/7/1, 36, 17, , , , 
2019/1/2, 32, 16, , , , 
2019/1/3, 29, 13, , , , 
2019/1/4, 27, 13, , , , 
2019/1/5, 27, 18, , , , 
2019/1/6, 32, 21, , , , 
2019/1/7, 36, 20, , , , 
2019/1/8, 34, 19, , , , 
2019/1/9, 33, 20, , , , 
2019/1/10, 29, 20, , , , 
2019/1/11, 32, 19, , , , 
2019/1/12, 32, 18, , , , 
2019/1/13, 29, 15, , , , 
2019/1/14, 28, 18, , , , 
2019/1/15, 29, 23, , , , 
2019/1/16, 37, 17, , , , 
2019/1/17, 31, 17, , , , 
2019/1/18, 25, 17, , , , 
2019/1/19, 30, 15, , , , 
2019/1/20, 32, 16, , , , 
2019/1/21, 39, 13, , , , 
2019/1/22, 21, 16, , , , 
2019/1/23, 27, 18, , , , 
2019/1/24, 33, 16, , , , 
2019/1/25, 29, 15, , , , 
2019/1/26, 30, 11, , , , 
2019/1/27, 22, 12, , , , 
2019/1/28, 20, 15, , , , 
2019/1/29, 28, 12, , , , 
2019/1/30, 19, 17, , , , 
2019/1/31, 24, 18, , , , 
2019/2/1, 29, 19, , , , 
2019/2/2, 27, 24, , , , 
2019/2/3, 28, 17, , , , 
2019/2/4, 24, 15, , , , 
2019/2/5, 27, 21, , , , 
2019/2/6, 28, 15, , , , 
2019/2/7, 23, 17, , , , 
2019/2/8, 28, 23, , , , 
2019/2/9, 32, 18, , , , 
2019/2/10, 33, 14, , , , 
2019/2/11, 27, 27, , , , 
2019/2/12, 38, 26, , , , 
2019/2/13, 37, 21, , , , 
2019/2/14, 37, 29, , , , 
2019/2/15, 45, 30, , , , 
2019/2/16, 35, 23, , , , 
2019/2/17, 25, 14, , , , 
2019/2/18, 21, 15, , , , 
2019/2/19, 23, 18, , , , 
2019/2/20, 28, 19, , , , 
2019/2/21, 30, 16, , , , 
2019/2/22, 21, 21, , , , 
2019/2/23, 25, 16, , , , 
2019/2/24, 22, 13, , , , 
2019/2/25, 23, 14, , , , 
2019/2/26, 27, 14, , , , 
2019/2/27, 24, 19, , , , 
2019/2/28, 25, 18, , , , 
2019/3/1, 22, 16, , , , 
2019/3/2, 25, 14, , , , 
2019/3/3, 23, 11, , , , 
2019/3/4, 24, 21, , , , 
2019/3/5, 33, 26, , , , 
2019/3/6, 34, 19, , , , 
2019/3/7, 31, 17, , , , 
2019/3/8, 34, 19, , , , 
2019/3/9, 35, 18, , , , 
2019/3/10, 34, 10, , , , 
2019/3/11, 23, 10, , , , 
2019/3/12, 25, 27, , , , 
2019/3/13, 51, 39, , , , 
2019/3/14, 61, 35, , , , 
2019/3/15, 53, 20, , , , 
2019/3/16, 44, 11, , , , 
2019/3/17, 33, 8, , , , 
2019/3/18, 25, 11, , , , 
2019/3/19, 31, 14, , , , 
2019/3/20, 35, 18, , , , 
2019/3/21, 45, 19, , , , 
2019/3/22, 47, 15, , , , 
2019/3/23, 37, 14, , , , 
2019/3/24, 36, 18, , , , 
2019/3/25, 50, 16, , , , 
2019/3/26, 41, 14, , , , 
2019/3/27, 32, 18, , , , 
2019/3/28, 46, 14, , , , 
2019/3/29, 32, 15, , , , 
2019/3/30, 31, 8, , , , 
2019/3/31, 18, 19, , , , 
2019/4/1, 31, 29, , , , 
2018/10/2, 24, 10, , , , 
2018/10/3, 19, 13, , , , 
2018/10/4, 26, 17, , , , 
2018/10/5, 30, 17, , , , 
2018/10/6, 29, 14, , , , 
2018/10/7, 35, 11, , , , 
2018/10/8, 34, 11, , , , 
2018/10/9, 29, 13, , , , 
2018/10/10, 36, 16, , , , 
2018/10/11, 41, 16, , , , 
2018/10/12, 38, 11, , , , 
2018/10/13, 24, 9, , , , 
2018/10/14, 18, 7, , , , 
2018/10/15, 18, 7, , , , 
2018/10/16, 18, 12, , , , 
2018/10/17, 23, 16, , , , 
2018/10/18, 28, 13, , , , 
2018/10/19, 25, 16, , , , 
2018/10/20, 29, 15, , , , 
2018/10/21, 32, 12, , , , 
2018/10/22, 33, 11, , , , 
2018/10/23, 31, , , , , 
2018/11/1, 34, 16, , , , 
2018/11/2, 33, 16, , , , 
2018/11/3, 28, 17, , , , 
2018/11/4, 29, 24, , , , 
2018/11/5, 49, 34, , , , 
2018/11/6, 62, 34, , , , 
2018/11/7, 58, 28, , , , 
2018/11/8, 54, 19, , , , 
2018/11/9, 40, 18, , , , 
2018/11/10, 33, 16, , , , 
2018/11/11, 30, 13, , , , 
2018/11/12, 30, 13, , , , 
2018/11/13, 31, 14, , , , 
2018/11/14, 31, 17, , , , 
2018/11/15, 31, 15, , , , 
2018/11/16, 29, 14, , , , 
2018/11/17, 28, 13, , , , 
2018/11/18, 28, 12, , , , 
2018/11/19, 25, 15, , , , 
2018/11/20, 24, 16, , , , 
2018/11/21, 28, 16, , , , 
2018/11/22, 27, 20, , , , 
2018/11/23, 39, 77, , , , 
2018/11/24, 67, 56, , , , 
2018/11/25, 52, 19, , , , 
2018/11/26, 25, 22, , , , 
2018/11/27, 37, 21, , , , 
2018/11/28, 36, 31, , , , 
2018/11/29, 54, 51, , , , 
2018/11/30, 51, 23, , , , 
2018/12/1, 37, 26, , , , 
2018/12/2, 51, 45, , , , 
2018/12/3, 77, 58, , , , 
2018/12/4, 98, 39, , , , 
2018/12/5, 56, 27, , , , 
2018/12/6, 46, 19, , , , 
2018/12/7, 34, 17, , , , 
2018/12/8, 28, 21, , , , 
2018/12/9, 30, 20, , , , 
2018/12/10, 29, 19, , , , 
2018/12/11, 29, 23, , , , 
2018/12/12, 42, 19, , , , 
2018/12/13, 35, 15, , , , 
2018/12/14, 26, 16, , , , 
2018/12/15, 28, 12, , , , 
2018/12/16, 21, 12, , , , 
2018/12/17, 20, 12, , , , 
2018/12/18, 25, 9, , , , 
2018/12/19, 19, 11, , , , 
2018/12/20, 22, 12, , , , 
2018/12/21, 25, 16, , , , 
2018/12/22, 32, 18, , , , 
2018/12/23, 39, 17, , , , 
2018/12/24, 32, 14, , , , 
2018/12/25, 24, 12, , , , 
2018/12/26, 22, 12, , , , 
2018/12/27, 22, 12, , , , 
2018/12/28, 24, 13, , , , 
2018/12/29, 23, 16, , , , 
2018/12/30, 28, 21, , , , 
2018/12/31, 37, , , , , 
2018/7/2, 59, 13, , , , 
2018/7/3, 39, 9, , , , 
2018/7/4, 22, 8, , , , 
2018/7/5, 19, 13, , , , 
2018/7/6, 29, 14, , , , 
2018/7/7, 31, 12, , , , 
2018/7/8, 25, 9, , , , 
2018/7/9, 18, 9, , , , 
2018/7/10, 19, 13, , , , 
2018/7/11, 31, 15, , , , 
2018/7/12, 46, 14, , , , 
2018/7/13, 47, 14, , , , 
2018/7/14, 40, 11, , , , 
2018/7/15, 32, 20, , , , 
2018/7/16, 60, 18, , , , 
2018/7/17, 54, 17, , , , 
2018/7/18, 43, 24, , , , 
2018/7/19, 56, 35, , , , 
2018/7/20, 76, 26, , , , 
2018/7/21, 64, 23, , , , 
2018/7/22, 44, , , , , 
2018/7/25, 54, 29, , , , 
2018/7/26, 63, 33, , , , 
