date, pm25, pm10, o3, no2, so2, co
2019/7/17, 27, 8, 30, 3, , 
2019/7/18, 25, 15, 41, 4, 1, 
2019/7/19, 41, 20, 34, 5, 1, 
2019/7/20, 39, 17, 42, 4, 1, 
2019/7/21, 46, 13, 33, 2, 1, 
2019/7/22, 31, 12, 36, 4, 1, 
2019/7/23, 30, 16, 34, 4, 2, 
2019/7/24, 47, 16, 37, 4, 2, 
2019/7/25, 30, 20, 42, 3, 2, 
2019/7/26, 31, 16, 36, 2, 3, 
2019/7/27, 22, 20, 35, 2, 3, 
2019/7/28, 30, 19, 53, 2, 3, 
2019/7/29, 34, 26, 46, 4, 3, 
2019/7/30, 55, 25, 28, 4, 1, 
2019/7/31, 63, 20, 32, 3, 1, 
2019/8/1, 57, 14, 31, 3, , 
2019/8/2, 43, 12, 35, 4, , 
2019/8/3, 38, 13, 34, 4, , 
2019/8/4, 43, 13, 31, 3, , 
2019/8/5, 41, 10, 39, 5, , 
2019/8/6, 29, 15, 39, 4, , 
2019/8/7, 42, 13, 32, 5, , 
2019/8/8, 40, 13, 35, 4, , 
2019/8/9, 39, 13, 43, 4, , 
2019/8/10, 30, 12, 31, 2, , 
2019/8/11, 29, 9, 38, 2, , 
2019/8/12, 22, 15, 34, 3, , 
2019/8/13, 31, 11, 34, 2, , 
2019/8/14, 25, 10, 36, 3, , 
2019/8/15, 22, 17, 30, 5, , 
2019/8/16, 27, 12, 27, 3, , 
2019/8/17, 24, 14, 35, 4, , 
2019/8/18, 35, 8, 25, 2, , 
2019/8/19, 19, 7, 32, 4, , 
2019/8/20, 22, 12, 36, 6, , 
2019/8/21, 27, 14, 39, 4, , 
2019/8/22, 28, 17, 52, 5, , 
2019/8/23, 33, 19, 52, 6, , 
2019/8/24, 47, 25, 50, 5, , 
2019/8/25, 54, 19, 50, 3, , 
2019/8/26, 45, 22, 59, 6, , 
2019/8/27, 48, 29, 52, 5, , 
2019/8/28, 60, 25, 56, 5, , 
2019/8/29, 61, 20, 50, 4, , 
2019/8/30, 47, 20, 46, 4, , 
2019/8/31, 45, 30, 61, 3, , 
2019/9/1, 62, 23, 45, 2, , 
2019/9/2, 54, 13, 30, 2, , 
2019/9/3, 28, 13, 29, 5, , 
2019/9/4, 21, 16, 42, 5, , 
2019/9/5, 38, 18, 28, 2, , 
2019/9/6, 31, 13, 30, 3, , 
2019/9/7, 20, 20, 32, 5, , 
2019/9/8, 30, 15, 33, 3, , 
2019/9/9, 40, 8, 25, 3, , 
2019/9/10, 22, 6, 38, 3, , 
2019/9/11, 22, 10, 42, 6, 1, 
2019/9/12, 32, 10, 24, 5, , 
2019/9/13, 34, 12, 22, 5, , 
2019/9/14, 39, 10, 28, 3, , 
2019/9/15, 26, 11, 37, 4, , 
2019/9/16, 32, 13, 24, 3, , 
2019/9/17, 32, 11, 24, 2, , 
2019/9/18, 32, 6, 27, 2, , 
2019/9/19, 17, 7, 25, 3, , 
2019/9/20, 18, 8, 23, 4, , 
2019/9/21, 22, 9, 31, 6, 1, 
2019/9/22, 23, 15, 20, 10, , 
2019/9/23, 46, 16, 36, 8, 2, 
2019/9/24, 41, 21, 22, 5, , 
2019/9/25, 52, 16, 12, 8, , 
2019/9/26, 53, 11, 17, 6, , 
2019/9/27, 41, 7, 19, 5, , 
2019/9/28, 23, 7, 20, 3, , 
2019/9/29, 26, 5, 21, 2, 1, 
2019/9/30, 17, 3, 25, 2, , 
2019/10/1, 14, 6, 19, 5, , 
2019/4/2, 34, 28, 35, 6, 2, 
2019/4/3, 46, 34, 41, 9, 2, 
2019/4/4, 68, 38, 42, 8, 2, 
2019/4/5, 80, 38, 22, 10, 1, 
2019/4/6, 76, 44, 49, 7, 1, 
2019/4/7, 96, 40, 47, 4, 1, 
2019/4/8, 85, 41, 48, 7, 1, 
2019/4/9, 79, 29, 42, 3, 1, 
2019/4/10, 68, 27, 36, 6, 1, 
2019/4/11, 57, 21, 32, 3, 1, 
2019/4/12, 46, 16, 31, 3, 1, 
2019/4/13, 29, 21, 35, 3, 1, 
2019/4/14, 48, 20, 31, 2, 1, 
2019/4/15, 58, 18, 41, 3, 1, 
2019/4/16, 53, 21, 45, 5, 2, 
2019/4/17, 48, 28, 43, 6, 1, 
2019/4/18, 55, 30, 50, 8, 2, 
2019/4/19, 52, 29, 58, 4, 2, 
2019/4/20, 57, 25, 51, 3, 1, 
2019/4/21, 49, 24, 50, 4, , 
2019/4/22, 44, 29, 45, 3, 1, 
2019/4/23, 45, 44, 45, 3, 1, 
2019/4/24, 54, 39, 40, 4, 1, 
2019/4/25, 62, 26, 46, 4, , 
2019/4/26, 58, 25, 44, 6, 1, 
2019/4/27, 32, 20, 34, 3, , 
2019/4/28, 50, 10, 30, 3, , 
2019/4/29, 40, 13, 36, 3, , 
2019/4/30, 32, 13, 46, 5, , 
2019/5/1, 36, 22, 38, 3, , 
2019/5/2, 41, 16, 33, 3, , 
2019/5/3, 58, 11, 35, 3, , 
2019/5/4, 42, 7, 32, 3, , 
2019/5/5, 23, 6, 37, 4, , 
2019/5/6, 19, 9, 33, 4, , 
2019/5/7, 26, 10, 31, 3, , 
2019/5/8, 24, 15, 44, 7, 1, 
2019/5/9, 32, 11, 37, 4, , 
2019/5/10, 33, 14, 32, 6, 1, 
2019/5/11, 37, 13, 36, 4, 1, 
2019/5/12, 38, 9, 35, 2, , 
2019/5/13, 29, 11, 33, 3, , 
2019/5/14, 22, 10, 33, 2, 1, 
2019/5/15, 17, 12, 36, 2, , 
2019/5/16, 14, 10, 28, 3, , 
2019/5/17, 15, 13, 34, 6, 1, 
2019/5/18, 42, 17, 43, 4, 1, 
2019/5/19, 53, 17, 47, 5, 1, 
2019/5/20, 47, 19, 41, 3, 1, 
2019/5/21, 54, 18, 41, 3, 1, 
2019/5/22, 56, 14, 30, 3, , 
2019/5/23, 47, 13, 37, 3, 1, 
2019/5/24, 35, 16, 55, 6, 1, 
2019/5/25, 33, 12, 33, 3, , 
2019/5/26, 34, 12, 39, 3, 1, 
2019/5/27, 32, 15, 28, 4, 1, 
2019/5/28, 32, 14, 32, 3, 1, 
2019/5/29, 35, 16, 37, 2, , 
2019/5/30, 21, 14, 40, 4, 1, 
2019/5/31, 32, 11, 29, 4, 1, 
2019/6/1, 31, 20, 40, 4, 1, 
2019/6/2, 50, 24, 45, 3, 2, 
2019/6/3, 59, 17, 51, 3, 2, 
2019/6/4, 38, 24, 54, 3, 1, 
2019/6/5, 35, 28, 63, 5, 1, 
2019/6/6, 57, 25, 49, 4, 2, 
2019/6/7, 53, 15, 46, 3, 1, 
2019/6/8, 37, 15, 36, 2, 1, 
2019/6/9, 30, 15, 39, 2, 1, 
2019/6/10, 25, , 51, 3, 2, 
2019/6/13, 53, 13, 44, 3, 1, 
2019/6/14, 37, 12, 49, 4, 2, 
2019/6/15, 20, 24, 52, 3, 2, 
2019/6/16, 44, 14, 41, 2, 2, 
2019/6/17, 35, 18, 53, 4, 1, 
2019/6/18, 34, 21, 48, 3, 2, 
2019/6/19, 44, 21, 64, 4, 2, 
2019/6/20, 39, 15, 41, 4, 2, 
2019/6/21, 36, 17, 38, 3, 2, 
2019/6/22, 36, 21, 42, 2, 2, 
2019/6/23, 39, 20, 44, 1, 2, 
2019/6/24, 26, 19, 51, 3, 2, 
2019/6/25, 28, 32, 64, 4, 2, 
2019/6/26, 33, 34, 78, 5, 2, 
2019/6/27, 54, 21, 35, 1, 1, 
2019/6/28, 41, 21, 36, 2, , 
2019/6/29, 31, 24, 45, 3, 1, 
2019/6/30, 40, 24, 69, 4, 1, 
2019/7/1, 40, 22, 43, 2, , 
2019/1/2, 46, 7, 28, 3, , 
2019/1/3, 17, 6, 20, 5, , 
2019/1/4, 17, 12, 19, 5, , 
2019/1/5, 41, 8, 22, 2, , 
2019/1/6, 30, 9, 18, 3, , 
2019/1/7, 30, 10, 18, 7, , 
2019/1/8, 41, 6, 26, 3, , 
2019/1/9, 29, 3, 24, 1, , 
2019/1/10, 8, 3, 25, 3, , 
2019/1/11, 11, 11, 21, 6, , 
2019/1/12, 32, 11, 28, 3, , 
2019/1/13, 40, 4, 28, 2, , 
2019/1/14, 17, 4, 29, 2, , 
2019/1/15, 13, 8, 26, 4, , 
2019/1/16, 19, 12, 18, 6, , 
2019/1/17, 41, 10, 25, 5, , 
2019/1/18, 42, 6, 27, 4, , 
2019/1/19, 21, 20, 20, 9, , 
2019/1/20, 40, 33, 14, 10, , 
2019/1/21, 86, 32, 16, 8, , 
2019/1/22, 93, 38, 13, 14, , 
2019/1/23, 104, 50, 15, 13, 1, 
2019/1/24, 124, 42, 20, 6, 1, 
2019/1/25, 121, 36, 17, 7, , 
2019/1/26, 104, 26, 13, 10, , 
