,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2020,Valladolid,ES,0.1,11.0,2.5,20.0,61.0,2.6
1/1/2020,Vancouver,CA,0.1,2.3,13.2,5.0,6.0,0.2
1/1/2020,Vereeniging,ZA,6.5,2.3,16.7,42.0,87.0,2.1
1/1/2020,Visakhapatnam,IN,10.3,12.1,28.8,77.0,156.0,4.2
1/1/2020,Vitória,BR,0.9,1.5,16.8,11.2,12.1,10.4
1/1/2020,Wollongong,AU,5.6,1.9,17.6,63.0,108.0,5.8
1/1/2020,Wrocław,PL,2.8,8.2,24.6,16.0,55.0,1.8
1/1/2020,Wuhan,CN,7.8,25.6,3.7,61.0,114.0,5.1
1/1/2020,Xiamen,CN,5.5,5.5,33.3,20.0,57.0,2.1
1/1/2020,Xining,CN,23.5,27.5,9.8,65.0,155.0,11.7
1/1/2020,Xinxiang,CN,6.4,21.1,5.7,60.0,112.0,6.6
1/1/2020,Xi’an,CN,10.9,23.8,3.7,90.0,170.0,8.2
1/1/2020,Xuchang,CN,8.2,19.2,6.5,66.0,161.0,5.1
1/1/2020,Yeosu,KR,5.6,8.4,16.8,16.0,42.0,4.3
1/1/2020,Yinchuan,CN,33.5,27.0,4.5,116.0,178.0,31.0
1/1/2020,Yokohama,JP,4.5,6.5,26.4,5.0,17.0,2.9
1/1/2020,Yunfu,CN,10.0,17.4,14.3,51.0,117.0,6.1
1/1/2020,Zenica,BA,16.5,20.6,8.2,100.0,267.0,75.4
1/1/2020,Zhengzhou,CN,7.8,21.1,10.2,61.0,132.0,5.1
1/1/2020,Zhuzhou,CN,9.1,22.4,2.9,81.0,163.0,7.1
1/1/2020,Ürümqi,CN,19.0,36.2,4.5,104.0,197.0,4.6
1/1/2020,İzmit,TR,6.4,14.6,7.3,17.0,53.0,1.6
1/1/2020,Ōita,JP,3.4,2.8,27.2,7.0,21.0,2.9
1/10/2020,Adapazarı,TR,14.9,15.3,3.3,62.0,124.0,15.8
1/10/2020,Akita,JP,3.4,10.2,13.6,7.0,30.0,1.5
1/10/2020,Albuquerque,US,1.5,4.7,27.2,10.0,16.0,1.5
1/10/2020,Amsterdam,NL,2.3,10.5,17.7,12.0,27.0,0.1
1/10/2020,Andong,KR,10.0,13.9,7.3,50.0,109.0,5.8
1/10/2020,Ankara,TR,16.7,41.7,3.6,28.0,67.0,3.7
1/10/2020,Antwerpen,BE,0.1,8.3,17.9,10.0,21.0,22.3
1/10/2020,Anyang,CN,26.3,33.9,4.5,149.0,261.0,8.7
1/10/2020,Ashdod,IL,56.0,5.8,18.1,8.0,27.0,1.2
1/10/2020,Ashkelon,IL,263.4,20.7,36.8,3.0,27.0,0.7
1/10/2020,Athens,GR,0.1,22.9,15.1,20.0,59.0,6.6
1/10/2020,Balıkesir,TR,19.8,21.6,7.4,37.0,70.0,54.4
1/10/2020,Bangkok,TH,0.1,27.1,11.9,85.0,164.0,2.2
1/10/2020,Beijing,CN,6.4,19.7,17.9,28.0,87.0,2.6
1/10/2020,Belfast,GB,0.7,19.8,9.0,17.0,42.0,1.4
1/10/2020,Belgrade,RS,15.3,29.4,5.9,84.0,177.0,13.2
1/10/2020,Bengaluru,IN,8.4,13.9,16.6,63.0,97.0,4.3
1/10/2020,Berlin,DE,0.1,10.6,13.5,11.0,22.0,1.7
1/10/2020,Bhopal,IN,6.0,10.5,10.8,71.0,117.0,4.3
1/10/2020,Bilbao,ES,0.1,7.4,23.6,15.0,30.0,2.6
1/10/2020,Bogotá,CO,4.6,5.8,8.0,28.0,53.0,0.5
1/10/2020,Brescia,IT,0.1,37.5,3.7,60.0,152.0,2.1
1/10/2020,Brisbane,AU,1.9,2.3,7.8,24.0,58.0,1.1
1/10/2020,Bristol,GB,2.3,15.3,17.9,13.0,30.0,5.7
1/10/2020,Brussels,BE,0.1,7.8,17.9,10.0,21.0,1.1
1/10/2020,Budapest,HU,7.0,14.9,4.1,50.0,140.0,3.5
1/10/2020,Buenos Aires,AR,4.8,11.0,11.0,25.0,55.0,2.1
1/10/2020,Burgos,ES,0.1,6.9,24.0,12.0,17.0,3.1
1/10/2020,Bursa,TR,23.2,29.8,6.4,52.0,93.0,7.9
1/10/2020,Busan,KR,5.6,26.0,14.5,34.0,82.0,5.8
1/10/2020,Bydgoszcz,PL,3.5,8.0,7.0,19.0,55.0,1.4
1/10/2020,Calama,CL,1.7,4.9,19.0,36.0,21.0,1.1
1/10/2020,Cardiff,GB,2.3,13.4,17.1,14.0,21.0,5.6
1/10/2020,Castelló de la Plana,ES,0.1,6.4,24.0,9.0,21.0,2.1
1/10/2020,Chandigarh,IN,4.0,9.3,9.3,66.0,115.0,3.8
1/10/2020,Changchun,CN,10.1,24.3,24.8,65.0,164.0,11.2
1/10/2020,Changsha,CN,7.3,11.0,9.0,14.0,55.0,1.6
1/10/2020,Changwon,KR,6.7,21.3,16.0,31.0,78.0,5.8
1/10/2020,Chengdu,CN,10.0,16.0,8.2,48.0,99.0,3.6
1/10/2020,Chennai,IN,6.4,4.6,15.4,57.0,89.0,2.8
1/10/2020,Cheongju-si,KR,8.9,31.5,5.6,55.0,139.0,4.3
1/10/2020,Chiang Mai,TH,0.1,14.4,6.0,52.0,129.0,1.1
1/10/2020,Chiba,JP,3.4,11.2,19.2,8.0,25.0,1.5
1/10/2020,Chon Buri,TH,0.1,12.7,10.3,76.0,154.0,1.1
1/10/2020,Chongqing,CN,10.9,16.5,4.1,38.0,82.0,3.1
