date, pm25, o3, no2, so2, co
2018/9/21, 22, 10, 1, , 1
2018/9/22, 12, 13, , , 
2018/9/23, 14, 11, 1, , 1
2018/9/24, 15, 10, , , 
2018/9/25, 13, 10, 1, , 1
2018/9/26, 11, 15, 1, , 1
2018/9/27, 10, 14, , , 
2018/9/28, 16, 11, , , 1
2018/9/29, 9, 10, , , 
2018/9/30, 11, 10, 1, , 1
2018/10/1, 17, 10, 1, , 1
2018/4/2, 20, 16, , , 1
2018/4/3, 26, 16, 1, 2, 1
2018/4/4, 19, 17, 1, , 1
2018/4/5, 17, 15, 1, , 1
2018/4/6, 17, 16, 1, , 1
2018/4/7, 22, 18, 1, , 1
2018/4/8, 20, 17, 1, , 1
2018/4/9, 23, 16, , , 1
2018/4/10, 17, 14, 1, , 1
2018/4/11, 21, 14, 2, 11, 1
2018/4/12, 30, 16, 1, 1, 1
2018/4/13, 31, 17, 1, , 1
2018/4/14, 12, 18, 1, , 1
2018/4/15, 24, 15, , , 1
2018/4/16, 34, 14, 2, 4, 1
2018/4/17, 29, 18, , , 1
2018/4/18, 15, 16, 1, , 1
2018/4/19, 22, 14, 1, , 1
2018/4/20, 21, 15, , , 1
2018/4/21, 12, 18, , , 1
2018/4/22, 15, 18, , , 1
2018/4/23, 17, 19, 2, , 1
2018/4/24, 21, 20, 1, , 1
2018/4/25, 26, 19, 1, , 1
2018/4/26, 31, 19, , , 1
2018/4/27, 20, 18, 1, , 1
2018/4/28, 18, 14, , , 1
2018/4/29, 16, 17, 1, , 1
2018/4/30, 12, 13, 1, 2, 1
2018/5/1, 13, 12, , , 1
2018/5/2, 14, 15, 1, , 1
2018/5/3, 22, 14, , , 1
2018/5/4, 24, 13, 1, , 1
2018/5/5, 17, 15, , , 1
2018/5/6, 17, 19, , , 1
2018/5/7, 18, 17, 1, , 1
2018/5/8, 19, 17, 2, , 1
2018/5/9, 19, 17, 1, , 1
2018/5/10, 17, 16, 1, , 1
2018/5/11, 18, 13, , , 1
2018/5/12, 15, 16, 2, , 1
2018/5/13, 17, 15, , , 1
2018/5/14, 16, 17, , , 1
2018/5/15, 17, 17, , , 1
2018/5/16, 12, 14, , 1, 1
2018/5/17, 23, 13, 1, , 1
2018/5/18, 20, 12, 2, , 1
2018/5/19, 22, 15, 1, , 1
2018/5/20, 16, 14, , , 1
2018/5/21, 12, 16, , , 1
2018/5/22, 13, 16, , , 1
2018/5/23, 16, 16, 1, , 1
2018/5/24, 19, 13, , , 1
2018/5/25, 13, , , , 
2018/5/29, 23, 11, 1, , 1
2018/5/30, 16, 15, 1, , 1
2018/5/31, 17, 16, 2, 1, 1
2018/6/1, 20, 16, 1, , 1
2018/6/2, 25, 13, , , 1
2018/6/3, 14, 11, , , 1
2018/6/4, 16, 12, 1, , 1
2018/6/5, 14, 14, 1, , 1
2018/6/6, 15, 16, 1, , 1
2018/6/7, 14, 13, 1, , 1
2018/6/8, 14, 17, , , 1
2018/6/9, 13, 14, 1, , 1
2018/6/10, 15, 11, 1, , 1
2018/6/11, 18, 11, , , 1
2018/6/12, 9, 13, 1, , 1
2018/6/15, 9, 11, 1, , 
2018/6/16, 15, 11, , , 
2018/6/17, 20, 13, , 1, 
2018/6/18, 13, 14, , , 
2018/6/19, 15, 15, 1, , 1
2018/6/20, 10, 12, , , 
2018/6/21, 17, 14, 1, , 
2018/6/22, 25, 12, , , 
2018/6/23, 18, 14, , , 
2018/6/24, 18, 16, , , 
2018/6/25, 11, 12, , , 
2018/6/26, 13, 11, , , 
2018/6/27, 16, 14, , , 1
2018/6/28, 21, 14, , , 
2018/6/29, 28, 13, , , 
2018/6/30, 13, 12, , , 
2018/7/1, 24, 11, , , 
2018/1/8, 13, 14, 1, , 1
2018/1/9, 17, 12, 3, 1, 2
2018/1/10, 27, 15, , , 1
2018/1/11, 23, 13, 1, , 2
2018/1/12, 21, 14, 1, , 1
2018/1/13, 23, 16, , , 1
2018/1/14, 17, 14, , , 1
2018/1/15, 14, 15, 1, 1, 1
2018/1/16, 12, 16, 1, 2, 1
2018/1/17, 14, 13, 3, , 2
2018/1/18, 13, 14, 2, 1, 1
2018/1/19, 20, 14, , 1, 1
2018/1/20, 19, 13, 1, 1, 1
2018/1/21, 23, 14, , , 1
2018/1/22, 22, 16, 1, , 1
2018/1/23, 15, 15, 4, , 2
2018/1/24, 31, 16, 1, 1, 1
2018/1/25, 12, 15, , , 1
2018/1/26, 12, 15, , , 1
2018/1/27, 11, 15, 2, , 1
2018/1/28, 21, 16, 1, , 1
2018/1/29, 32, 15, 1, , 1
2018/1/30, 18, 14, 1, 3, 1
2018/1/31, 10, 15, 1, 1, 1
2018/2/1, 14, 15, 1, , 1
2018/2/2, 12, 17, 1, 1, 1
2018/2/3, 10, 14, , , 1
2018/2/4, 14, 16, 1, , 1
2018/2/5, 16, 17, , , 1
2018/2/6, 14, 15, 2, , 1
2018/2/7, 20, 14, 1, 1, 1
2018/2/8, 20, 16, , 1, 1
2018/2/9, 13, 14, 2, , 2
2018/2/10, 24, 16, 1, , 1
2018/2/11, 24, 16, , , 1
2018/2/12, 18, 15, 1, , 1
2018/2/13, 15, 15, 1, , 1
2018/2/14, 18, 15, 1, 1, 1
2018/2/15, 31, 14, 3, , 2
2018/2/16, 36, 12, 3, , 2
2018/2/17, 30, 15, , , 1
2018/2/18, 28, 14, 1, , 1
2018/2/19, 22, 15, 3, , 2
2018/2/20, 31, 15, 3, , 1
2018/2/21, 26, 14, 1, , 1
2018/2/22, 20, 14, , , 1
2018/2/23, 21, 15, 1, , 1
2018/2/24, 21, 15, 1, , 1
2018/2/25, 16, 16, 2, 7, 1
2018/2/26, 21, 15, , , 1
2018/2/27, 14, 16, 1, , 1
2018/2/28, 16, 16, 2, , 1
2018/3/1, 19, 14, 3, 1, 2
2018/3/2, 30, 16, 1, 3, 1
2018/3/3, 15, 17, 1, 5, 1
2018/3/4, 24, 17, 1, 4, 1
2018/3/5, 21, 18, , , 1
2018/3/6, 25, 18, , , 1
2018/3/7, 18, 17, , 5, 1
2018/3/8, 18, 18, , , 1
2018/3/9, 26, 18, , , 1
2018/3/10, 18, 17, 1, , 1
2018/3/11, 24, 15, 1, , 1
2018/3/12, 17, 18, 1, , 1
2018/3/13, 18, 17, 1, , 1
2018/3/14, 25, 19, , , 2
2018/3/15, 36, 18, 1, , 1
2018/3/16, 19, 14, 1, , 1
2018/3/17, 17, , , , 
2018/3/22, 23, 16, , , 1
2018/3/23, 24, 15, 1, , 1
2018/3/24, 15, 17, , , 1
2018/3/25, 22, 17, , , 1
2018/3/26, 28, 17, , 1, 1
2018/3/27, 17, 18, , , 1
2018/3/28, 22, 18, 1, , 1
2018/3/29, 16, 17, , , 1
2018/3/30, 14, 17, 1, , 1
2018/3/31, 16, 17, 1, , 1
2018/4/1, 15, 18, 1, , 1
2017/10/2, 14, 12, 1, , 
2017/10/3, 15, 12, 1, , 1
2017/10/4, 13, 13, 1, , 1
2017/10/5, 22, 12, 1, , 1
2017/10/6, 25, 8, 1, , 1
2017/10/7, 22, 10, 1, , 1
2017/10/8, 22, 12, , , 
2017/10/9, 17, 9, 1, , 1
2017/10/10, 20, 10, 1, , 
2017/10/11, 10, 10, 2, , 
2017/10/12, 15, 12, 1, , 
2017/10/13, 13, 13, 3, , 1
2017/10/14, 19, 13, , , 1
2017/10/15, 14, 12, 1, , 1
2017/10/16, 18, 12, , , 
2017/10/17, 15, 12, 2, , 
2017/10/18, 13, 10, 1, , 1
2017/10/19, 17, 12, 1, , 1
2017/10/20, 12, 16, 1, , 1
2017/10/21, 28, 11, , , 
2017/10/22, 13, 15, 1, , 
2017/10/23, 15, 12, 2, , 1
2017/10/24, 12, 12, 2, , 1
2017/10/25, 23, 14, 1, , 1
2017/10/26, 17, 16, 1, , 1
2017/10/27, 24, 15, 2, , 2
2017/10/28, 24, 8, 2, , 1
2017/10/29, 16, 7, 1, , 1
2017/10/30, 24, 14, , , 1
2017/10/31, 15, 14, 1, , 1
2017/11/1, 32, 10, 3, , 2
2017/11/2, 26, , 4, , 4
2017/11/4, 16, 12, , , 1
2017/11/5, 15, 13, 1, , 1
2017/11/6, 18, 14, , , 1
2017/11/7, 19, 11, 1, , 1
2017/11/8, 13, 12, 1, 1, 1
2017/11/9, 12, 11, 5, , 2
2017/11/10, 18, 14, 1, , 1
2017/11/11, 14, 14, , , 1
2017/11/12, 21, 14, 3, , 2
2017/11/13, 25, 11, 5, , 2
2017/11/14, 32, 14, 2, , 1
2017/11/15, 23, 13, , , 1
2017/11/16, 18, 10, 4, 1, 2
2017/11/17, 35, 15, , , 1
2017/11/18, 16, 12, , , 1
2017/11/19, 10, 15, 1, , 1
2017/11/20, 12, 13, 1, , 1
2017/11/21, 20, 12, , , 1
2017/11/22, 21, , , , 
2017/11/24, 22, 11, 2, , 2
2017/11/25, 26, 14, 1, , 1
2017/11/26, 22, 14, 1, , 1
2017/11/27, 18, 12, 1, , 1
2017/11/28, 22, 13, 1, , 1
2017/11/29, 20, 14, 1, , 1
2017/11/30, 22, 13, 5, 1, 2
2017/12/1, 35, 12, 3, , 2
2017/12/2, 33, 11, 2, 3, 1
2017/12/3, 28, 11, , , 1
2017/12/4, 15, 11, 2, 1, 1
2017/12/5, 17, 13, 4, 1, 2
2017/12/6, 22, 15, 1, , 1
2017/12/7, 13, 12, 3, , 2
2017/12/8, 27, 11, 2, 1, 2
2017/12/9, 29, 11, 3, 1, 2
2017/12/10, 27, 13, 1, 1, 1
2017/12/11, 6, , , , 
2017/7/2, 25, 13, , , 
2017/7/3, 15, 12, , , 
2017/7/4, 24, 10, , , 
2017/7/5, 26, 10, 1, 3, 
2017/7/6, 18, 10, , , 
2017/7/7, 23, 10, , , 
2017/7/8, 15, 13, 1, , 
2017/7/9, 15, 16, , , 1
2017/7/10, 21, 11, 1, , 1
2017/7/11, 34, 17, 1, , 1
2017/7/12, 37, 13, 1, , 
2017/7/13, 29, 8, 1, 2, 1
2017/7/14, 27, 10, , , 
2017/7/15, 21, 12, , , 
2017/7/16, 19, 10, , , 
2017/7/17, 22, 10, , 1, 1
2017/7/18, 24, 13, , , 1
2017/7/19, 24, 12, , , 
2017/7/20, 23, 12, , 1, 1
2017/7/21, 35, 12, 1, , 1
2017/7/22, 38, 12, , 1, 
2017/7/23, 23, 10, , , 
2017/7/24, 19, 8, , 1, 
2017/7/25, 15, 8, , , 
2017/7/29, 18, 12, , , 1
2017/7/30, 23, 10, , , 
2017/7/31, 20, 10, , , 
2017/8/1, 24, 11, , , 1
2017/8/2, 32, 11, , , 1
2017/8/3, 24, 12, , , 1
2017/8/4, 29, 10, , , 1
2017/8/5, 28, 10, , , 1
2017/8/6, 26, 11, , , 
2017/8/7, 22, 8, 1, , 
2017/8/8, 15, 11, 1, , 1
2017/8/9, 32, 9, 1, , 
2017/8/10, 19, 14, 1, , 1
2017/8/11, 44, 11, 1, , 1
2017/8/12, 43, 13, , , 
2017/8/13, 25, 13, , , 
2017/8/14, 22, 12, 1, , 1
2017/8/15, 36, 10, 1, 2, 1
2017/8/16, 46, 13, , , 1
2017/8/17, 24, 9, 1, , 
2017/8/18, 17, 11, , , 
2017/8/19, 15, 11, , , 
2017/8/20, 20, 12, , , 
2017/8/21, 19, 9, 1, , 1
2017/8/22, 44, 15, 1, , 1
2017/8/23, 66, 17, , , 1
2017/8/24, 49, 12, 1, , 1
2017/8/25, 25, 11, , , 1
2017/8/26, 23, 8, 1, , 1
2017/8/27, 20, 9, , , 
2017/8/28, 11, 10, 1, , 1
2017/8/29, 17, 11, 1, , 1
2017/8/30, 26, 11, 1, , 1
2017/8/31, 29, 12, 3, , 1
2017/9/1, 37, 10, 1, , 1
2017/9/2, 24, 9, , , 
2017/9/3, 13, 14, , , 1
2017/9/4, 19, 13, , , 1
2017/9/5, 16, 17, , , 1
2017/9/6, 29, , , , 
2017/9/11, 12, 9, , , 
2017/9/12, 15, 9, , , 
2017/9/13, 8, 10, 1, , 1
2017/9/14, 32, 12, 1, , 1
2017/9/15, 52, 8, 1, 1, 1
2017/9/16, 23, 11, 1, , 1
2017/9/17, 35, 10, 1, 2, 
2017/9/18, 12, 9, , 1, 1
2017/9/19, 14, 10, , , 1
2017/9/20, 20, 9, 1, , 1
2017/9/21, 19, 9, , , 
2017/9/22, 18, 8, 1, 2, 1
2017/9/23, 12, 10, 1, , 1
2017/9/24, 16, 9, , 2, 1
2017/9/25, 12, 9, , 1, 1
2017/9/26, 15, 12, , 1, 1
2017/9/27, 38, 10, 1, 1, 1
2017/9/28, 12, 10, 1, 1, 1
2017/9/29, 12, 9, , , 
2017/9/30, 10, 12, 1, , 
2017/10/1, 14, 11, 1, , 1
2017/4/2, 33, 18, 1, 1, 1
2017/4/3, 35, 18, , , 
2017/4/4, 34, 18, 1, , 3
2017/4/5, 42, 17, 3, , 1
2017/4/6, 39, 17, 1, , 1
2017/4/7, 37, 18, , , 1
2017/4/8, 25, 16, 1, , 1
2017/4/9, 26, 12, , , 1
2017/4/10, 32, 15, 2, , 1
2017/4/11, 34, 19, 1, , 1
2017/4/12, 39, 16, , , 1
2017/4/13, 42, 14, 1, , 1
2017/4/14, 30, 17, 1, , 1
2017/4/15, 29, 18, 2, , 1
2017/4/16, 36, 18, 1, , 1
2017/4/17, 31, 15, , , 1
2017/4/18, 29, 15, , , 
2017/4/19, 32, 15, 2, 6, 1
2017/4/20, 36, 15, 4, , 1
2017/4/21, 39, 16, , , 1
2017/4/22, 32, 16, 2, 8, 1
2017/4/23, 48, 16, 1, , 1
2017/4/24, 25, 14, 1, 1, 1
2017/4/25, 39, 16, 1, , 1
2017/4/26, 37, 15, , , 1
2017/4/27, 39, 16, 1, , 1
2017/4/28, 30, 13, , , 1
2017/4/29, 20, 16, 1, , 1
2017/4/30, 25, 17, 1, , 1
